Number of Cities: 35
Number of Cities: 35Starting point: 33
Ending point: 23

EdgeMatrix: 
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
1	0	INF	INF	93	INF	INF	3	INF	INF	INF	92	2	INF	2	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	95	INF	INF	INF	INF	INF	INF	INF	
2	4	0	INF	INF	92	INF	INF	2	INF	3	INF	INF	3	90	94	INF	INF	INF	INF	2	INF	INF	INF	INF	INF	INF	INF	96	INF	INF	INF	INF	INF	INF	INF	
3	INF	INF	0	INF	INF	99	2	INF	INF	INF	INF	INF	INF	97	94	INF	INF	INF	INF	93	INF	INF	INF	INF	INF	90	INF	INF	INF	INF	INF	INF	3	96	INF	
4	INF	INF	93	0	95	98	INF	INF	INF	97	INF	INF	INF	91	INF	INF	2	INF	99	INF	INF	INF	92	INF	INF	INF	3	3	INF	INF	INF	INF	INF	INF	INF	
5	INF	INF	INF	INF	0	99	93	INF	INF	INF	94	INF	INF	99	91	INF	97	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	4	INF	2	INF	INF	3	97	INF	
6	INF	INF	INF	INF	INF	0	INF	98	INF	INF	2	INF	INF	INF	INF	98	INF	INF	94	INF	INF	98	4	INF	INF	INF	INF	INF	INF	4	INF	INF	96	INF	INF	
7	INF	INF	INF	2	INF	96	0	INF	INF	95	INF	90	INF	INF	INF	INF	INF	INF	INF	INF	INF	95	INF	INF	INF	INF	INF	INF	INF	INF	INF	98	INF	INF	2	
8	INF	INF	INF	INF	INF	INF	INF	0	INF	94	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	3	INF	INF	INF	INF	2	INF	INF	INF	90	INF	INF	INF	INF	5	
9	91	INF	INF	INF	INF	INF	INF	97	0	INF	INF	INF	INF	95	96	99	INF	91	91	INF	INF	INF	2	INF	2	INF	5	INF	INF	INF	INF	INF	INF	INF	INF	
10	4	INF	91	INF	INF	INF	INF	INF	99	0	INF	90	INF	INF	INF	INF	INF	96	INF	INF	INF	INF	3	INF	INF	INF	INF	91	INF	5	INF	INF	4	INF	INF	
11	INF	INF	3	INF	INF	INF	INF	INF	INF	INF	0	INF	92	3	INF	INF	INF	INF	94	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
12	INF	96	INF	INF	INF	INF	INF	INF	INF	90	INF	0	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	92	99	95	
13	3	98	INF	INF	INF	92	INF	INF	96	INF	96	INF	0	2	INF	INF	5	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
14	INF	INF	INF	INF	2	93	96	INF	94	INF	90	INF	INF	0	INF	INF	96	INF	INF	INF	INF	INF	INF	INF	5	99	94	INF	INF	INF	99	INF	INF	INF	INF	
15	INF	INF	INF	INF	3	INF	INF	INF	INF	INF	INF	INF	INF	INF	0	INF	INF	INF	93	INF	INF	INF	INF	5	INF	90	INF	INF	INF	INF	INF	4	INF	INF	96	
16	99	4	INF	INF	INF	INF	INF	INF	INF	4	92	3	INF	INF	99	0	INF	INF	96	INF	5	INF	96	94	INF	INF	99	INF	INF	5	INF	INF	4	INF	INF	
17	5	INF	93	92	INF	INF	INF	INF	INF	INF	INF	92	INF	INF	INF	INF	0	INF	INF	INF	INF	INF	2	INF	96	INF	INF	INF	INF	INF	91	INF	INF	92	INF	
18	INF	INF	INF	3	INF	INF	INF	INF	INF	INF	INF	INF	5	INF	INF	INF	96	0	INF	INF	INF	4	INF	INF	INF	INF	INF	INF	INF	94	INF	INF	INF	91	INF	
19	INF	INF	INF	INF	95	93	95	91	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	0	INF	INF	INF	98	INF	INF	INF	INF	INF	94	5	INF	INF	INF	INF	INF	
20	97	INF	INF	INF	INF	INF	INF	99	INF	INF	INF	INF	INF	INF	INF	INF	3	INF	4	0	97	INF	INF	INF	93	90	INF	INF	4	INF	5	INF	INF	90	INF	
21	INF	INF	INF	4	INF	INF	INF	INF	91	INF	INF	INF	INF	INF	3	3	99	INF	INF	INF	0	2	INF	INF	INF	INF	INF	INF	INF	INF	INF	90	INF	95	INF	
22	INF	91	INF	INF	INF	INF	INF	INF	INF	INF	97	97	INF	INF	INF	INF	INF	4	INF	INF	INF	0	4	93	3	INF	INF	INF	INF	INF	INF	INF	2	INF	92	
23	97	5	INF	INF	5	INF	92	99	INF	INF	3	INF	INF	3	INF	INF	INF	5	INF	INF	INF	95	0	95	90	91	INF	INF	99	INF	INF	INF	INF	2	3	
24	INF	93	4	2	INF	INF	INF	INF	INF	INF	INF	INF	INF	4	INF	INF	96	98	2	3	INF	INF	INF	0	INF	91	INF	INF	98	97	INF	INF	INF	INF	2	
25	INF	INF	INF	91	96	INF	99	INF	INF	INF	INF	INF	92	INF	97	INF	INF	INF	INF	INF	99	INF	INF	99	0	INF	96	INF	INF	INF	96	INF	INF	93	90	
26	INF	4	INF	INF	INF	INF	4	INF	INF	INF	4	INF	INF	INF	4	INF	INF	INF	INF	INF	INF	INF	5	INF	INF	0	91	5	INF	4	INF	INF	INF	INF	90	
27	INF	INF	INF	2	INF	INF	93	INF	INF	INF	91	INF	INF	INF	INF	INF	91	INF	INF	INF	91	97	INF	INF	INF	INF	0	INF	INF	INF	INF	5	INF	INF	INF	
28	INF	INF	INF	INF	INF	INF	94	INF	INF	92	INF	INF	INF	INF	INF	INF	95	INF	INF	INF	INF	90	3	96	INF	94	INF	0	INF	INF	91	INF	91	INF	INF	
29	INF	90	INF	INF	INF	INF	INF	INF	INF	91	97	98	INF	INF	4	4	INF	INF	INF	INF	INF	2	INF	INF	98	INF	INF	INF	0	INF	INF	INF	5	INF	90	
30	INF	INF	93	INF	INF	INF	INF	INF	99	INF	4	95	INF	INF	INF	90	INF	INF	INF	INF	INF	INF	INF	INF	90	INF	INF	INF	INF	0	INF	94	INF	INF	INF	
31	91	93	96	INF	INF	INF	INF	INF	97	4	INF	INF	94	INF	INF	INF	INF	INF	INF	5	INF	INF	91	99	95	INF	INF	99	INF	91	0	INF	INF	INF	INF	
32	INF	INF	97	INF	INF	INF	INF	INF	INF	96	INF	INF	INF	INF	INF	INF	INF	4	97	INF	INF	98	90	INF	INF	99	INF	INF	96	4	5	0	INF	INF	INF	
33	INF	92	INF	3	INF	INF	INF	INF	5	INF	INF	INF	INF	90	4	4	INF	91	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	99	0	INF	INF	
34	INF	INF	INF	INF	99	INF	4	94	INF	3	INF	INF	INF	INF	INF	INF	INF	2	91	INF	INF	INF	INF	INF	INF	INF	INF	93	INF	INF	99	INF	98	0	INF	
35	INF	INF	INF	INF	INF	4	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	90	INF	INF	96	INF	INF	INF	97	INF	INF	94	INF	INF	INF	INF	0	

FlowMatrix: 
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
1	0	94	0	0	0	0	0	2	0	0	0	0	91	0	3	2	0	0	0	2	0	5	0	0	3	4	0	0	4	0	5	0	0	2	93	
2	98	0	2	0	0	0	90	0	0	97	0	2	0	5	94	0	0	0	0	0	90	91	94	0	4	3	5	90	0	0	2	0	0	0	0	
3	2	0	0	0	0	0	0	0	96	0	0	0	90	0	0	0	4	5	5	0	0	91	0	96	0	3	0	0	0	0	94	0	0	93	0	
4	0	0	0	0	4	0	5	0	0	0	0	0	0	0	96	91	0	0	0	0	98	97	0	0	5	0	90	0	0	94	0	0	0	0	0	
5	94	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	97	90	0	95	0	0	96	0	0	3	4	0	0	0	93	0	0	0	0	
6	4	95	93	0	91	0	95	0	0	5	93	0	0	0	90	0	0	2	0	0	0	0	93	99	0	0	0	0	0	0	0	0	0	3	0	
7	0	0	92	0	0	0	0	4	0	0	97	0	0	0	0	4	98	0	0	0	0	4	0	0	5	92	95	0	0	4	0	0	4	96	99	
8	0	0	0	0	0	90	0	0	5	0	0	3	96	97	0	4	5	0	4	95	0	0	0	0	0	93	93	0	0	0	0	0	5	0	0	
9	95	0	0	2	0	0	0	0	0	0	0	0	0	92	2	97	0	95	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	
10	4	3	0	0	0	0	5	0	0	0	0	5	0	96	0	0	0	3	0	95	0	0	0	0	4	0	0	3	5	0	3	3	0	97	0	
11	0	0	90	5	0	95	3	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	96	5	5	0	2	0	0	0	0	0	5	0	3	
12	0	0	0	0	93	0	0	4	97	0	0	0	4	0	0	0	94	4	0	0	0	0	5	4	99	5	0	3	0	3	0	96	0	98	4	
13	0	0	4	0	2	0	97	0	0	0	96	0	0	4	2	0	0	91	3	0	0	3	0	0	0	0	0	2	0	0	0	4	0	99	0	
14	0	0	0	0	0	90	0	5	3	0	3	0	95	0	4	0	3	0	0	93	5	0	0	93	0	0	0	0	0	5	0	96	2	0	0	
15	0	0	2	2	0	0	99	0	0	2	5	0	3	5	0	0	0	0	0	99	0	0	2	90	92	92	0	90	2	0	0	94	92	3	5	
16	94	0	98	0	0	0	99	98	2	0	0	0	0	0	0	0	4	91	96	2	0	0	0	92	0	0	99	0	0	4	0	0	91	98	94	
17	0	0	0	92	0	0	92	0	0	3	2	3	0	0	3	0	0	0	0	0	0	0	5	94	94	91	95	4	0	0	0	91	0	0	99	
18	4	0	99	93	0	0	0	4	5	91	0	0	0	0	0	0	0	0	0	4	0	0	97	0	92	0	0	0	90	0	0	0	0	0	94	
19	92	0	4	5	0	0	4	4	0	0	0	97	0	0	0	5	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	95	0	2	
20	90	0	0	93	0	0	0	0	0	0	0	92	0	93	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	92	90	
21	0	0	95	0	0	0	4	0	0	0	99	0	4	0	0	0	0	0	3	0	0	0	0	0	2	0	2	98	3	92	0	4	94	0	0	
22	0	99	91	0	3	97	3	0	0	0	0	4	0	4	93	2	0	92	0	0	0	0	0	4	0	2	0	0	4	0	95	90	0	0	0	
23	2	0	96	0	96	0	0	0	5	0	2	0	0	92	0	91	0	0	0	2	0	93	0	93	3	3	0	4	3	5	0	0	2	4	0	
